co_applicant_ethnicity,co_applicant_ethnicity_name,purchaser_type,county_name,respondent_id,preapproval,co_applicant_race_1,lien_status_name,sequence_number,applicant_income_000s,preapproval_name,applicant_race_name_1,action_taken_name,msamd,applicant_ethnicity_name,owner_occupancy_name,loan_purpose_name,county_code,number_of_owner_occupied_units,action_taken,hoepa_status_name,agency_code,fips_code,tract_to_msamd_income,loan_purpose,co_applicant_race_name_1,application_date_indicator,edit_status,state_abbr,property_type,applicant_race_1,lien_status,loan_amount_000s,edit_status_name,owner_occupancy,hud_median_family_income,loan_type_name,rate_spread,applicant_sex_name,applicant_sex,state_name,population,co_applicant_sex_name,purchaser_type_name,minority_population,hoepa_status,census_tract_number,msamd_name,agency_name,as_of_year,number_of_1_to_4_family_units,loan_type,applicant_ethnicity,agency_abbr,state_code,property_type_name,co_applicant_sex
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649479,67,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,White,2,6,SD,1,5,4,142,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,Female,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649483,35,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,No co-applicant,2,6,SD,1,5,4,107,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Female,2,South Dakota,13878,No co-applicant,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649476,63,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,White,2,6,SD,1,5,4,145,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,Female,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,3,Bucks County,1741,2,5,Secured by a first lien,819959,68,Preapproval was not requested,White,Loan originated,37964,Not Hispanic or Latino,Not owner-occupied as a principal dwelling,Home purchase,17,610,1,Not a HOEPA loan,1,42017,72.37999725,1,White,0,N/A,PA,1,5,1,119,N/A,2,69200,Conventional,,Male,1,Pennsylvania,3842,Female,Freddie Mac (FHLMC),19.10000038,2,1002.07,Philadelphia - PA,Office of the Comptroller of the Currency,2007,780,1,2,OCC,42,One-to-four family dwelling (other than manufactured housing),2
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649480,34,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,No co-applicant,2,6,SD,1,5,4,161,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,No co-applicant,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649485,70,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,White,2,6,SD,1,5,4,159,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,Female,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649486,67,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,White,2,6,SD,1,5,4,133,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,Female,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
2,Not Hispanic or Latino,6,Rockingham County,04-3244326,1,5,Secured by a first lien,655,137,Preapproval was requested,White,Loan originated,40484,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,15,1117,1,Not a HOEPA loan,7,33015,76.37999725,1,White,0,N/A,NH,1,5,1,278,N/A,1,75700,Conventional,,Female,2,New Hampshire,4057,Male,"Commercial bank, savings bank or savings association",2.140000105,2,550.02,"Rockingham County, Strafford County - NH",Department of Housing and Urban Development,2007,1489,1,2,HUD,33,One-to-four family dwelling (other than manufactured housing),1
5,No co-applicant,1,Lincoln County,13044,3,8,Not applicable,1649491,41,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Refinancing,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,3,No co-applicant,2,6,SD,1,5,4,209,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,"Information not provided by applicant in mail, Internet, or telephone application",3,South Dakota,13878,No co-applicant,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),5
2,Not Hispanic or Latino,1,Lincoln County,13044,3,5,Not applicable,1649487,108,Not applicable,White,Loan purchased by the institution,43620,Not Hispanic or Latino,Owner-occupied as a principal dwelling,Home purchase,83,3984,6,Not a HOEPA loan,1,46083,117.8199997,1,White,2,6,SD,1,5,4,170,Quality edit failure only,1,66600,FSA/RHS-guaranteed,,Male,1,South Dakota,13878,Female,Fannie Mae (FNMA),3.319999933,2,101,Sioux Falls - SD,Office of the Comptroller of the Currency,2009,4290,4,2,OCC,46,One-to-four family dwelling (other than manufactured housing),2
